Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
GERD,Omeprazole,"Nausea, Headache, Dizziness",2,55,30,91,97,121,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",3,82,41,62,93,131,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,6
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",9,85,44,103,98,141,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
Migraine,Paracetamol,"Nausea, Headache, Dizziness",12,64,34,92,100,162,Avoid,No,Food Allergy,None,AB-,8
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",13,73,28,85,98,160,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,8
Alzheimer’s disease,Paracetamol,"Nausea, Headache, Dizziness",1,69,33,109,89,153,Low,No,Food Allergy,None,AB+,8
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",4,68,27,90,84,160,Moderate,Yes,"Penicillin,Dust,None",None,B-,9
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",5,79,25,94,97,146,Low,Yes,None,None,A+,6
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",7,68,44,99,87,159,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,8
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",9,62,36,94,89,133,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Diabetes mellitus type 2,Glimepiride,"Nausea, Headache, Dizziness",3,67,44,68,83,147,Low,Yes,None,"None,Statins,Insulin,BP Meds",O+,7
GERD,Ranitidine,"Nausea, Headache, Dizziness",13,59,28,87,83,140,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,9
Anemia,Folic acid,"Nausea, Headache, Dizziness",15,50,30,90,91,166,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,7
Gout,Amoxicillin,"Nausea, Headache, Dizziness",4,50,41,73,80,145,Low,No,Food Allergy,None,A+,8
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",4,67,29,65,90,121,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Epilepsy,Ibuprofen,"Nausea, Headache, Dizziness",9,77,26,93,93,142,Low,Yes,None,None,O-,6
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",3,74,30,84,90,157,Low,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Rheumatoid arthritis,Amoxicillin,"Nausea, Headache, Dizziness",15,82,29,61,81,144,Low,No,Food Allergy,None,B-,10
Vitamin B12 deficiency,Amoxicillin,"Nausea, Headache, Dizziness",9,70,30,76,95,145,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,7
Hyperthyroidism,Propylthiouracil,"Nausea, Headache, Dizziness",10,53,45,71,85,138,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Coronary artery disease,Ibuprofen,"Nausea, Headache, Dizziness",11,85,35,95,80,135,Low,Yes,"Penicillin,Dust,None",None,A+,7
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",6,50,29,102,82,156,Low,No,"Penicillin,Dust,None",None,A-,6
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",4,85,33,65,93,148,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",4,68,25,68,90,121,Low,Yes,"Penicillin,Dust,None",None,A+,10
COPD,Paracetamol,"Nausea, Headache, Dizziness",2,73,39,106,86,158,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,7
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",10,83,35,99,92,160,Avoid,No,Food Allergy,None,B-,10
Cirrhosis,Paracetamol,"Nausea, Headache, Dizziness",2,69,38,107,83,154,Low,No,None,None,O+,9
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",5,83,36,83,85,144,Moderate,Yes,"Penicillin,Dust,None",None,AB+,6
IBS,Amoxicillin,"Nausea, Headache, Dizziness",14,76,34,89,87,152,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,6
Ulcerative colitis,Paracetamol,"Nausea, Headache, Dizziness",8,77,31,78,80,146,Moderate,Yes,"Penicillin,Dust,None",None,A-,6
Gout,Paracetamol,"Nausea, Headache, Dizziness",11,66,45,103,95,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",8,61,34,103,89,154,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,8
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",2,69,29,93,82,133,Avoid,Yes,Food Allergy,None,O-,10
Measles,Ibuprofen,"Nausea, Headache, Dizziness",4,57,25,107,92,154,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,7
Psoriasis,Amoxicillin,"Nausea, Headache, Dizziness",15,70,29,87,81,154,Avoid,Yes,Food Allergy,None,B-,10
Acne,Ibuprofen,"Nausea, Headache, Dizziness",3,75,33,86,95,143,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O-,7
Eczema,Paracetamol,"Nausea, Headache, Dizziness",15,56,38,104,81,153,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Epilepsy,Paracetamol,"Nausea, Headache, Dizziness",8,55,42,68,80,164,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",2,83,36,90,90,157,Low,Yes,"Penicillin,Dust,None",None,A+,8
Migraine,Paracetamol,"Nausea, Headache, Dizziness",2,78,26,105,94,141,Low,No,None,"None,Statins,Insulin,BP Meds",B-,9
IBS,Paracetamol,"Nausea, Headache, Dizziness",10,58,33,100,87,154,Avoid,Yes,Food Allergy,None,O+,9
Hepatitis C,Ibuprofen,"Nausea, Headache, Dizziness",4,56,29,101,86,141,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O-,10
Parkinson’s disease,Amoxicillin,"Nausea, Headache, Dizziness",3,65,33,101,89,126,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Influenza,Paracetamol,"Nausea, Headache, Dizziness",11,65,39,64,94,154,Moderate,Yes,Food Allergy,None,A-,6
Alzheimer’s disease,Amoxicillin,"Nausea, Headache, Dizziness",4,76,26,84,81,154,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,10
Migraine,Ibuprofen,"Nausea, Headache, Dizziness",15,66,41,79,98,138,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",9,66,39,80,87,163,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Asthma,Budesonide,"Nausea, Headache, Dizziness",8,66,41,89,97,165,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Pneumonia,Ibuprofen,"Nausea, Headache, Dizziness",5,65,34,67,81,124,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,10
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",11,84,41,101,92,162,Low,No,None,"None,Statins,Insulin,BP Meds",O-,7
HIV/AIDS,Efavirenz,"Nausea, Headache, Dizziness",5,75,42,97,96,146,Moderate,No,Food Allergy,None,B+,9
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",9,60,43,107,95,142,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Gout,Paracetamol,"Nausea, Headache, Dizziness",11,66,45,103,95,150,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Vitamin D deficiency,Amoxicillin,"Nausea, Headache, Dizziness",5,78,32,74,83,132,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",14,70,40,81,82,136,Low,Yes,"Penicillin,Dust,None",None,AB+,7
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",12,79,40,104,99,134,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,6
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",8,74,33,94,88,154,Avoid,No,None,"None,Statins,Insulin,BP Meds",B-,10
Cirrhosis,Paracetamol,"Nausea, Headache, Dizziness",2,69,28,91,82,141,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,7
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",10,64,31,84,96,156,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,6
Gout,Ibuprofen,"Nausea, Headache, Dizziness",15,79,41,65,80,170,Avoid,Yes,Food Allergy,None,B+,8
Bronchitis,Ibuprofen,"Nausea, Headache, Dizziness",1,51,42,94,97,150,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,9
GERD,Pantoprazole,"Nausea, Headache, Dizziness",7,80,37,95,96,137,Low,No,Food Allergy,None,A-,7
Measles,Amoxicillin,"Nausea, Headache, Dizziness",9,85,36,76,92,162,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,10
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",14,53,34,83,89,132,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",8,61,31,90,92,143,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
COVID-19,Paracetamol,"Nausea, Headache, Dizziness",8,52,32,81,89,145,Avoid,Yes,None,None,AB+,7
Lymphoma,Amoxicillin,"Nausea, Headache, Dizziness",10,78,28,75,85,132,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Chickenpox,Paracetamol,"Nausea, Headache, Dizziness",1,81,37,84,85,140,Moderate,No,None,"None,Statins,Insulin,BP Meds",B-,7
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",7,60,31,61,83,135,Moderate,No,"Penicillin,Dust,None",None,O+,6
Anemia,Vitamin B12,"Nausea, Headache, Dizziness",10,52,33,63,88,170,Low,No,None,"None,Statins,Insulin,BP Meds",O-,6
Diabetes mellitus type 2,Glimepiride,"Nausea, Headache, Dizziness",15,52,45,64,85,149,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB+,10
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",13,62,45,85,97,158,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A-,9
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",9,57,26,84,83,137,Moderate,Yes,Food Allergy,None,A+,6
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",10,74,44,94,84,169,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,7
Heart attack,Heparin,"Nausea, Headache, Dizziness",8,52,31,104,91,170,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Acne,Paracetamol,"Nausea, Headache, Dizziness",5,54,38,60,98,150,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,9
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",14,54,27,102,91,131,Low,No,Food Allergy,None,B-,9
Hypothyroidism,Levothyroxine,"Nausea, Headache, Dizziness",4,80,28,72,83,131,Avoid,Yes,"Penicillin,Dust,None",None,B+,9
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",13,68,40,77,82,133,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Hypothyroidism,Levothyroxine,"Nausea, Headache, Dizziness",13,62,25,79,91,160,Low,No,"Penicillin,Dust,None",None,A+,9
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",13,55,26,61,86,163,Low,No,"Penicillin,Dust,None",None,AB-,10
Chronic kidney disease,Ibuprofen,"Nausea, Headache, Dizziness",14,81,26,87,99,133,Avoid,No,Food Allergy,None,B-,9
COVID-19,Paracetamol,"Nausea, Headache, Dizziness",14,58,32,107,95,134,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB-,8
Depression,Fluoxetine,"Nausea, Headache, Dizziness",5,64,42,68,80,125,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Malnutrition,Amoxicillin,"Nausea, Headache, Dizziness",10,59,35,95,81,126,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,7
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",3,75,33,80,100,135,Avoid,No,Food Allergy,None,B-,10
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",12,66,40,69,87,123,Avoid,No,None,None,B-,9
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",13,68,35,102,85,133,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,10
Diabetes mellitus type 2,Insulin,"Nausea, Headache, Dizziness",5,63,31,110,87,168,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A-,10
Syphilis,Amoxicillin,"Nausea, Headache, Dizziness",1,51,38,97,99,125,Moderate,No,None,None,A-,6
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",12,85,30,84,97,138,Avoid,Yes,None,None,A+,7
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",8,58,43,97,97,160,Moderate,Yes,None,None,B+,6
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",12,59,30,70,97,135,Low,No,None,"None,Statins,Insulin,BP Meds",O-,6
Coronary artery disease,Paracetamol,"Nausea, Headache, Dizziness",8,69,29,67,93,134,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,8
Lung cancer,Ibuprofen,"Nausea, Headache, Dizziness",10,65,29,63,96,139,Avoid,Yes,Food Allergy,None,O+,8
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",5,51,37,79,83,127,Low,Yes,Food Allergy,None,AB-,10
Hepatitis B,Paracetamol,"Nausea, Headache, Dizziness",11,76,28,100,82,126,Moderate,Yes,None,None,AB+,6
Prostate cancer,Amoxicillin,"Nausea, Headache, Dizziness",15,60,34,64,86,123,Moderate,No,"Penicillin,Dust,None",None,AB-,7
Measles,Amoxicillin,"Nausea, Headache, Dizziness",2,83,27,99,80,141,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,9
Diabetes mellitus type 2,Insulin,"Nausea, Headache, Dizziness",2,56,30,95,92,159,Moderate,No,Food Allergy,None,AB-,6
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",10,65,29,95,88,126,Low,Yes,Food Allergy,None,AB-,7
Hepatitis C,Ibuprofen,"Nausea, Headache, Dizziness",12,75,42,95,83,164,Low,Yes,Food Allergy,None,B+,8
Lung cancer,Paracetamol,"Nausea, Headache, Dizziness",3,81,26,101,90,124,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",1,53,41,85,94,152,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A-,8
IBS,Paracetamol,"Nausea, Headache, Dizziness",5,74,26,91,93,123,Avoid,Yes,"Penicillin,Dust,None",None,B-,10
Measles,Amoxicillin,"Nausea, Headache, Dizziness",4,74,27,67,87,148,Avoid,No,Food Allergy,None,A-,7
COVID-19,Remdesivir,"Nausea, Headache, Dizziness",6,51,41,80,94,166,Low,No,None,"None,Statins,Insulin,BP Meds",B+,7
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",13,57,40,69,85,138,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Gout,Amoxicillin,"Nausea, Headache, Dizziness",14,81,44,76,89,128,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,7
Depression,Fluoxetine,"Nausea, Headache, Dizziness",11,72,29,83,92,157,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",2,56,34,69,100,168,Moderate,No,"Penicillin,Dust,None",None,B+,7
Influenza,Oseltamivir,"Nausea, Headache, Dizziness",6,80,38,73,93,156,Avoid,No,Food Allergy,None,B-,8
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",8,67,32,107,82,134,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Zika virus,Paracetamol,"Nausea, Headache, Dizziness",5,84,45,80,86,133,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,8
Measles,Ibuprofen,"Nausea, Headache, Dizziness",12,58,32,77,92,126,Low,Yes,"Penicillin,Dust,None",None,AB+,9
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",12,55,36,97,100,144,Avoid,No,"Penicillin,Dust,None",None,AB+,10
Vitamin D deficiency,Amoxicillin,"Nausea, Headache, Dizziness",2,54,41,92,80,131,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",7,66,30,70,99,167,Avoid,No,None,None,AB-,6
Alzheimer’s disease,Paracetamol,"Nausea, Headache, Dizziness",3,65,33,88,98,138,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,8
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",11,50,44,76,85,154,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,9
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",14,85,39,64,100,168,Avoid,No,"Penicillin,Dust,None",None,A-,10
Typhoid,Cefixime,"Nausea, Headache, Dizziness",14,56,32,108,92,143,Moderate,Yes,"Penicillin,Dust,None",None,O-,7
Acne,Ibuprofen,"Nausea, Headache, Dizziness",13,64,30,81,90,163,Low,Yes,Food Allergy,None,B+,10
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",8,75,36,109,81,144,Avoid,Yes,None,None,B-,7
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",10,57,26,87,87,145,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB+,8
Crohn’s disease,Amoxicillin,"Nausea, Headache, Dizziness",4,58,42,66,97,161,Avoid,No,"Penicillin,Dust,None",None,AB-,6
Anemia,Folic acid,"Nausea, Headache, Dizziness",1,84,43,99,82,132,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,8
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",13,67,29,96,84,142,Low,Yes,Food Allergy,None,AB-,6
Eczema,Paracetamol,"Nausea, Headache, Dizziness",4,51,37,81,84,170,Low,No,"Penicillin,Dust,None",None,O+,7
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",11,57,36,92,89,121,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",9,53,27,107,83,159,Avoid,No,None,None,O+,8
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",15,50,41,79,100,156,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,10
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",13,71,28,103,94,169,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,7
Influenza,Zanamivir,"Nausea, Headache, Dizziness",6,55,44,74,98,128,Avoid,Yes,None,None,AB-,8
Chikungunya,Amoxicillin,"Nausea, Headache, Dizziness",14,50,39,69,98,136,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,6
Rabies,Amoxicillin,"Nausea, Headache, Dizziness",9,62,28,99,91,153,Avoid,Yes,"Penicillin,Dust,None",None,B-,8
Migraine,Paracetamol,"Nausea, Headache, Dizziness",14,57,37,62,99,130,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,7
Endometriosis,Amoxicillin,"Nausea, Headache, Dizziness",6,57,36,67,82,144,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",7,85,27,82,93,133,Avoid,No,None,None,AB+,7
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",5,72,33,108,98,136,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Malaria,Lumefantrine,"Nausea, Headache, Dizziness",5,83,45,67,88,148,Moderate,No,"Penicillin,Dust,None",None,B-,6
GERD,Ranitidine,"Nausea, Headache, Dizziness",10,79,35,98,86,151,Avoid,No,None,"None,Statins,Insulin,BP Meds",AB-,10
Acne,Paracetamol,"Nausea, Headache, Dizziness",11,84,26,84,91,131,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",15,65,36,82,97,126,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,7
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",7,73,25,93,82,121,Low,No,"Penicillin,Dust,None",None,B-,6
IBS,Paracetamol,"Nausea, Headache, Dizziness",10,65,33,103,80,165,Moderate,Yes,None,None,B+,9
Osteoporosis,Amoxicillin,"Nausea, Headache, Dizziness",7,53,29,68,99,135,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB-,6
Influenza,Oseltamivir,"Nausea, Headache, Dizziness",10,53,37,61,85,152,Moderate,Yes,Food Allergy,None,O-,7
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",12,70,28,97,96,139,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Depression,Sertraline,"Nausea, Headache, Dizziness",2,81,31,75,95,120,Low,Yes,"Penicillin,Dust,None",None,AB+,8
Hypertension,Enalapril,"Nausea, Headache, Dizziness",13,52,44,91,100,139,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,9
Depression,Fluoxetine,"Nausea, Headache, Dizziness",15,52,36,97,83,161,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,7
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",3,64,30,109,82,136,Low,No,"Penicillin,Dust,None",None,B+,9
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",14,60,33,64,87,122,Moderate,No,Food Allergy,None,B-,7
IBS,Amoxicillin,"Nausea, Headache, Dizziness",5,73,29,89,90,162,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,8
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",15,63,38,71,84,143,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,7
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",3,58,45,107,91,148,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Lymphoma,Ibuprofen,"Nausea, Headache, Dizziness",8,59,31,108,80,161,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,6
Heart attack,Atorvastatin,"Nausea, Headache, Dizziness",2,77,26,60,91,161,Low,No,None,None,B+,6
Hepatitis C,Amoxicillin,"Nausea, Headache, Dizziness",1,59,34,81,88,129,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",10,51,41,77,82,152,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",8,60,28,103,87,120,Low,No,None,"None,Statins,Insulin,BP Meds",O-,6
Depression,Escitalopram,"Nausea, Headache, Dizziness",2,78,43,61,93,161,Avoid,Yes,Food Allergy,None,B-,7
Rabies,Paracetamol,"Nausea, Headache, Dizziness",6,52,25,95,96,121,Low,No,None,"None,Statins,Insulin,BP Meds",A+,9
Vitamin B12 deficiency,Paracetamol,"Nausea, Headache, Dizziness",10,82,28,91,82,138,Low,No,Food Allergy,None,B+,8
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",8,52,26,88,87,140,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Migraine,Ibuprofen,"Nausea, Headache, Dizziness",8,77,36,94,93,156,Moderate,No,Food Allergy,None,A-,6
Measles,Amoxicillin,"Nausea, Headache, Dizziness",10,74,33,105,82,134,Moderate,Yes,Food Allergy,None,B+,9
Typhoid,Azithromycin,"Nausea, Headache, Dizziness",3,51,27,100,93,165,Moderate,Yes,None,None,B+,10
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",7,73,25,93,82,121,Low,No,"Penicillin,Dust,None",None,B-,6
Typhoid,Ciprofloxacin,"Nausea, Headache, Dizziness",13,84,30,103,90,143,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A-,10
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",15,58,30,110,100,131,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Asthma,Salbutamol,"Nausea, Headache, Dizziness",1,69,33,66,99,168,Low,No,"Penicillin,Dust,None",None,B+,6
Vitamin D deficiency,Amoxicillin,"Nausea, Headache, Dizziness",11,77,41,99,100,170,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,9
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",13,61,35,89,92,159,Low,Yes,None,None,O-,8
