Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Obesity,Orlistat,Rash,15,46,43,71,90,121,Occasional,Not Applicable,None,Vitamin D,O-,6
Asthma,Salbutamol,Vomiting,3,60,30,93,96,167,No,No,None,Calcium,A+,6
Allergy,Fexofenadine,Rash,4,69,38,113,88,167,No,Not Applicable,Pollen,Multivitamin,B-,10
Malaria,Primaquine,Constipation,3,42,50,100,93,122,No,Yes,Peanuts,Multivitamin,O+,4
COVID-19,Remdesivir,Sleepiness,5,61,39,68,89,171,Yes,Yes,Dust,Vitamin D,B+,5
Cancer,Cisplatin,Sleepiness,12,64,31,73,80,126,No,Not Applicable,Dust,Calcium,B+,8
Hypertension,Losartan,Diarrhea,5,45,31,93,96,122,Yes,No,Penicillin,Multivitamin,A+,8
Malaria,Artemether,Diarrhea,17,90,43,70,94,127,Occasional,No,Dust,None,AB+,6
Migraine,Propranolol,Headache,12,49,36,113,96,164,No,Not Applicable,Pollen,Calcium,O-,8
Obesity,Orlistat,Fatigue,5,87,38,94,94,148,Yes,Not Applicable,None,Calcium,AB-,7
Arthritis,Diclofenac,Rash,5,81,33,116,89,145,No,No,Peanuts,Calcium,B-,10
Allergy,Fexofenadine,Headache,18,61,35,81,98,150,No,No,Dust,Iron Supplement,AB-,8
COVID-19,Favipiravir,Constipation,16,66,40,109,82,160,Occasional,No,Dust,Calcium,AB+,4
Diabetes,Metformin,Dizziness,6,60,31,101,83,120,Yes,Yes,Pollen,Calcium,B-,6
Diabetes,Glimepiride,Fatigue,16,43,45,76,83,177,Occasional,No,Sulfa,Calcium,O+,4
Allergy,Loratadine,Sleepiness,18,85,31,99,89,133,Occasional,Not Applicable,Dust,Vitamin D,A+,10
Diabetes,Metformin,Constipation,1,75,41,116,91,137,Yes,Yes,None,Multivitamin,A-,5
Arthritis,Ibuprofen,Diarrhea,11,60,49,77,85,139,No,Yes,Penicillin,Calcium,B+,6
Arthritis,Ibuprofen,Vomiting,16,64,44,117,87,169,Occasional,No,Dust,Calcium,AB-,4
Arthritis,Diclofenac,Constipation,11,64,38,95,92,144,No,No,Penicillin,Iron Supplement,A+,10
Typhoid,Cefixime,Diarrhea,5,74,35,92,90,125,No,Yes,Pollen,Iron Supplement,B+,5
Obesity,Orlistat,Fatigue,17,76,39,107,85,125,Occasional,No,Sulfa,Vitamin D,B+,5
Depression,Fluoxetine,Vomiting,3,90,49,97,89,141,Occasional,Not Applicable,Pollen,Iron Supplement,O-,7
Anxiety,Alprazolam,Rash,12,41,45,77,81,132,Yes,Not Applicable,Peanuts,Calcium,AB-,4
Typhoid,Cefixime,Rash,3,78,35,86,90,172,Occasional,No,Dust,Vitamin D,A+,4
Hypertension,Atenolol,Dry Mouth,2,67,30,67,99,123,Yes,No,Sulfa,Calcium,AB+,10
PCOS,Clomiphene,Vomiting,5,51,31,106,86,136,Yes,Not Applicable,Penicillin,None,AB+,9
Anxiety,Clonazepam,Nausea,5,79,44,75,88,165,Yes,Not Applicable,Dust,Calcium,O+,6
Hypertension,Amlodipine,Diarrhea,16,86,48,110,97,179,No,No,Penicillin,Calcium,AB-,4
PCOS,Letrozole,Dry Mouth,4,90,49,110,89,158,No,Not Applicable,Sulfa,Calcium,AB+,10
Obesity,Orlistat,Sleepiness,11,69,39,101,98,147,No,Yes,Sulfa,Multivitamin,B-,7
Typhoid,Ciprofloxacin,Sleepiness,1,87,35,119,94,128,No,Yes,Pollen,None,A-,4
Migraine,Topiramate,Fatigue,14,50,46,60,87,167,Occasional,Yes,Pollen,Calcium,O-,10
Thyroid Disorder,Propylthiouracil,Rash,9,85,36,87,80,164,Occasional,Not Applicable,Pollen,Vitamin D,AB-,5
Flu,Paracetamol,Headache,3,71,39,72,98,143,Yes,Yes,Dust,Iron Supplement,O+,4
PCOS,Letrozole,Nausea,10,81,39,60,95,154,Yes,Not Applicable,Sulfa,Multivitamin,O-,7
Kidney Disease,Furosemide,Dizziness,16,86,38,64,86,175,Occasional,No,Sulfa,Calcium,O-,9
Liver Disease,Ursodeoxycholic Acid,Diarrhea,15,67,48,106,90,178,Yes,Yes,Sulfa,None,O+,9
Typhoid,Azithromycin,Sleepiness,3,85,40,94,93,164,Yes,Not Applicable,Peanuts,Calcium,O+,10
Malaria,Primaquine,Constipation,9,51,33,85,82,145,Yes,No,Sulfa,None,B-,7
Malaria,Chloroquine,Sleepiness,18,46,31,68,83,150,Occasional,Yes,Peanuts,Vitamin D,A+,4
Thyroid Disorder,Carbimazole,Fatigue,1,63,41,80,95,120,Yes,Not Applicable,None,None,B-,8
PCOS,Metformin,Dry Mouth,10,64,32,89,98,129,No,No,None,Vitamin D,AB+,4
Migraine,Propranolol,Dry Mouth,1,85,30,114,84,178,Yes,Yes,None,Iron Supplement,A-,4
Depression,Escitalopram,Sleepiness,10,74,41,96,90,156,No,Yes,Sulfa,Multivitamin,AB-,4
Migraine,Propranolol,Vomiting,14,44,50,98,92,164,Occasional,Not Applicable,Penicillin,Vitamin D,AB+,7
Obesity,Orlistat,Dizziness,11,81,47,71,85,144,Occasional,Yes,Pollen,Multivitamin,O+,7
Cancer,Imatinib,Headache,13,84,41,110,92,136,Occasional,Not Applicable,Pollen,Vitamin D,O+,6
Arthritis,Diclofenac,Constipation,18,54,41,70,97,173,Yes,No,Pollen,Calcium,O-,5
Migraine,Sumatriptan,Fatigue,15,59,31,91,93,180,Yes,Yes,Peanuts,Vitamin D,B+,9
Kidney Disease,Furosemide,Diarrhea,16,50,32,78,85,157,Occasional,Yes,Peanuts,Multivitamin,A-,6
Migraine,Topiramate,Fatigue,8,90,36,102,93,127,No,Not Applicable,Sulfa,Iron Supplement,A+,10
Heart Disease,Aspirin,Constipation,1,67,41,114,99,127,Yes,No,Penicillin,None,O+,4
Diabetes,Glimepiride,Dry Mouth,8,64,44,115,89,122,Yes,Yes,Pollen,Vitamin D,AB-,5
Malaria,Chloroquine,Dizziness,8,57,48,112,95,142,Occasional,Not Applicable,Penicillin,Vitamin D,O+,9
Thyroid Disorder,Carbimazole,Nausea,15,41,49,69,98,146,Occasional,Yes,Pollen,Vitamin D,AB+,9
Migraine,Propranolol,Nausea,9,60,43,113,84,125,Occasional,Not Applicable,Dust,Iron Supplement,A-,5
Hypertension,Atenolol,Fatigue,8,69,47,115,94,156,No,Yes,Pollen,Multivitamin,A-,10
Hypertension,Amlodipine,Vomiting,13,65,46,72,87,168,Yes,Not Applicable,Peanuts,None,AB-,9
Diabetes,Glimepiride,Diarrhea,17,73,31,66,95,162,Occasional,Yes,Sulfa,None,A-,4
Malaria,Artemether,Fatigue,6,90,40,80,84,135,Occasional,Yes,Dust,None,A-,9
Kidney Disease,Calcitriol,Rash,10,59,38,105,94,155,Yes,Not Applicable,None,None,B-,6
Depression,Escitalopram,Dizziness,8,57,40,109,94,173,Occasional,Yes,Pollen,Iron Supplement,O-,9
Typhoid,Ciprofloxacin,Dizziness,15,63,44,64,94,149,Occasional,Yes,None,Vitamin D,B-,6
Obesity,Phentermine,Vomiting,1,70,38,119,83,176,Occasional,No,Pollen,Multivitamin,AB-,8
Obesity,Phentermine,Nausea,7,70,42,100,80,156,Yes,Yes,Dust,Multivitamin,O+,4
Migraine,Sumatriptan,Dizziness,16,75,47,66,93,121,Yes,Yes,Dust,Multivitamin,B+,9
Heart Disease,Clopidogrel,Rash,7,78,30,66,97,128,Occasional,No,Sulfa,Vitamin D,B+,6
Migraine,Topiramate,Rash,10,54,38,74,92,139,Yes,Yes,Peanuts,Multivitamin,B+,10
Malaria,Artemether,Rash,10,55,44,101,89,154,No,Not Applicable,Sulfa,Iron Supplement,A+,10
COVID-19,Paracetamol,Sleepiness,15,66,30,95,92,166,No,No,Dust,Multivitamin,B+,6
COVID-19,Remdesivir,Fatigue,18,88,37,78,88,176,No,No,None,Iron Supplement,B-,7
Asthma,Salbutamol,Headache,14,54,48,109,94,172,Yes,Yes,Dust,None,B+,7
Cancer,Paclitaxel,Constipation,17,64,48,109,83,159,Yes,No,Sulfa,Multivitamin,B+,4
Anxiety,Alprazolam,Dizziness,3,48,33,80,90,120,Occasional,Not Applicable,Peanuts,None,A+,10
Heart Disease,Aspirin,Dizziness,12,80,34,120,92,131,Yes,No,None,Calcium,B-,9
Malaria,Chloroquine,Sleepiness,2,46,32,79,92,124,Occasional,No,Pollen,Multivitamin,A+,8
Allergy,Fexofenadine,Headache,2,48,36,76,88,173,Yes,Not Applicable,None,Calcium,AB-,6
Typhoid,Cefixime,Nausea,9,48,49,111,82,141,Yes,Yes,Penicillin,Iron Supplement,O+,9
Hypertension,Amlodipine,Dizziness,16,50,42,77,94,176,No,Not Applicable,Sulfa,Vitamin D,AB+,4
Kidney Disease,Furosemide,Dizziness,12,73,37,88,83,173,Yes,No,Peanuts,Multivitamin,O+,9
Anxiety,Clonazepam,Vomiting,17,62,42,101,100,168,Occasional,Not Applicable,Penicillin,None,A-,6
Asthma,Salbutamol,Sleepiness,12,76,41,97,91,125,Yes,Yes,None,Calcium,A-,7
Arthritis,Diclofenac,Headache,4,60,46,106,86,140,Occasional,Not Applicable,Pollen,Vitamin D,O-,6
Migraine,Propranolol,Rash,6,41,39,60,93,170,Occasional,Yes,Peanuts,None,A-,4
PCOS,Clomiphene,Headache,17,81,45,79,97,132,Yes,Yes,Peanuts,Multivitamin,A+,4
Hypertension,Losartan,Vomiting,13,57,31,74,98,141,Yes,Not Applicable,None,Multivitamin,O-,5
Hypertension,Losartan,Dizziness,12,87,40,102,87,163,No,Not Applicable,Peanuts,Calcium,AB+,5
Malaria,Chloroquine,Diarrhea,5,40,33,108,86,144,Yes,Yes,Dust,Vitamin D,B-,4
Asthma,Salbutamol,Rash,12,45,41,70,89,132,Yes,No,Peanuts,Iron Supplement,A+,5
Malaria,Primaquine,Sleepiness,7,87,34,118,83,149,Occasional,Not Applicable,Peanuts,Vitamin D,AB+,8
COVID-19,Remdesivir,Sleepiness,8,64,40,95,80,150,No,Not Applicable,Pollen,Calcium,AB+,9
Flu,Paracetamol,Diarrhea,14,45,41,73,97,134,No,Not Applicable,Peanuts,Iron Supplement,O+,7
Migraine,Sumatriptan,Nausea,9,42,46,94,97,174,No,Yes,Sulfa,Multivitamin,AB+,5
Hypertension,Losartan,Nausea,3,81,49,82,96,131,No,Yes,Pollen,Iron Supplement,AB+,7
Arthritis,Diclofenac,Headache,17,55,44,120,82,130,Occasional,Yes,None,Multivitamin,O-,8
Asthma,Salbutamol,Rash,11,81,42,110,83,153,Yes,Yes,Pollen,Vitamin D,AB+,6
Cancer,Paclitaxel,Headache,7,75,39,103,82,159,No,Yes,None,Iron Supplement,AB+,9
Thyroid Disorder,Levothyroxine,Constipation,4,84,30,82,93,175,Yes,Yes,Sulfa,Multivitamin,AB-,4
Hypertension,Amlodipine,Diarrhea,15,89,33,87,85,123,Yes,No,Penicillin,Multivitamin,B+,7
Typhoid,Azithromycin,Dizziness,13,64,39,112,90,167,Occasional,Yes,Pollen,None,AB+,7
Asthma,Salbutamol,Dizziness,7,70,34,88,82,129,Yes,Not Applicable,Dust,Vitamin D,AB+,7
COVID-19,Favipiravir,Constipation,11,69,49,88,83,161,Occasional,No,Pollen,None,AB-,10
Cancer,Imatinib,Rash,1,62,41,77,94,122,Occasional,No,Penicillin,Iron Supplement,A-,7
Hypertension,Amlodipine,Sleepiness,6,55,47,113,80,147,Yes,No,None,Calcium,B+,4
COVID-19,Paracetamol,Dry Mouth,8,56,35,65,99,169,Yes,Yes,Dust,Multivitamin,A-,5
Diabetes,Insulin,Vomiting,17,44,48,108,83,152,Yes,Not Applicable,Penicillin,Calcium,B-,5
Diabetes,Glimepiride,Vomiting,9,87,45,78,88,160,Yes,Not Applicable,Peanuts,Iron Supplement,B+,4
Anxiety,Alprazolam,Fatigue,13,67,34,77,81,148,Yes,No,Penicillin,Iron Supplement,B+,8
Depression,Fluoxetine,Headache,14,83,44,85,96,125,Occasional,Not Applicable,Sulfa,Calcium,A-,8
Anxiety,Clonazepam,Diarrhea,17,49,47,63,98,159,No,Not Applicable,Dust,Multivitamin,B+,8
Heart Disease,Clopidogrel,Headache,10,49,39,78,97,162,Yes,Yes,Pollen,Iron Supplement,B-,5
Hypertension,Atenolol,Headache,17,50,38,82,81,124,No,No,Peanuts,Iron Supplement,A+,9
Kidney Disease,Furosemide,Nausea,1,80,47,81,92,144,Occasional,No,Penicillin,Iron Supplement,O+,9
Kidney Disease,Furosemide,Vomiting,8,44,50,109,80,162,No,Yes,Sulfa,Vitamin D,A+,5
Kidney Disease,Calcitriol,Constipation,3,52,37,92,93,142,No,Yes,Peanuts,Vitamin D,AB-,9
Migraine,Topiramate,Diarrhea,17,65,42,111,88,146,No,Not Applicable,Pollen,Multivitamin,A+,7
Cancer,Cisplatin,Sleepiness,18,71,31,63,92,135,Yes,Yes,Penicillin,Vitamin D,A-,8
Thyroid Disorder,Levothyroxine,Vomiting,7,46,47,64,91,141,No,No,Pollen,Multivitamin,A+,10
Flu,Oseltamivir,Sleepiness,6,44,38,117,92,159,Occasional,Not Applicable,None,Multivitamin,B-,9
Heart Disease,Aspirin,Headache,14,49,46,85,94,126,Yes,No,Sulfa,Iron Supplement,B+,10
Asthma,Montelukast,Vomiting,9,64,47,94,83,134,Occasional,Not Applicable,Peanuts,None,B+,6
Tuberculosis,Rifampicin,Fatigue,16,87,47,75,84,179,Occasional,Not Applicable,Sulfa,Multivitamin,A-,7
PCOS,Metformin,Diarrhea,3,61,49,92,95,130,No,Not Applicable,Peanuts,Vitamin D,O+,5
Asthma,Budesonide,Nausea,15,56,35,106,85,134,No,Yes,Penicillin,Multivitamin,B-,7
Typhoid,Azithromycin,Headache,6,63,39,106,93,133,Occasional,Yes,None,None,B-,9
Depression,Sertraline,Dizziness,15,48,50,97,87,175,Occasional,Yes,Penicillin,Multivitamin,A+,6
Liver Disease,Ursodeoxycholic Acid,Dizziness,11,86,42,73,95,124,Occasional,No,Penicillin,Iron Supplement,A-,10
Hypertension,Atenolol,Nausea,1,55,41,61,94,151,Yes,Not Applicable,Penicillin,None,A+,6
Allergy,Loratadine,Rash,14,53,33,86,89,179,Occasional,Not Applicable,None,Calcium,B+,8
Asthma,Budesonide,Headache,8,48,30,95,92,163,Occasional,Yes,None,Calcium,A+,7
Diabetes,Glimepiride,Constipation,12,75,32,75,88,121,Yes,Yes,Penicillin,Iron Supplement,A+,6
Cancer,Imatinib,Diarrhea,8,74,41,76,100,174,Occasional,No,Sulfa,Vitamin D,AB+,4
Obesity,Liraglutide,Dizziness,4,90,30,71,80,144,Yes,No,Penicillin,Iron Supplement,AB-,6
Malaria,Chloroquine,Fatigue,10,86,32,60,99,158,Occasional,Not Applicable,Peanuts,Vitamin D,A+,7
Cancer,Paclitaxel,Vomiting,10,63,39,80,90,142,Occasional,No,Peanuts,None,O-,9
Depression,Sertraline,Sleepiness,5,63,30,109,86,137,No,Not Applicable,Peanuts,Vitamin D,O+,5
Flu,Oseltamivir,Nausea,3,89,40,75,95,167,Occasional,No,Penicillin,Iron Supplement,AB-,5
Hypertension,Losartan,Diarrhea,14,59,30,68,89,135,Occasional,No,Penicillin,Multivitamin,B+,10
Malaria,Primaquine,Constipation,17,88,41,90,94,164,No,No,None,Iron Supplement,AB+,8
Anxiety,Clonazepam,Diarrhea,18,58,42,103,92,140,No,Not Applicable,Sulfa,None,O-,5
Heart Disease,Atorvastatin,Dry Mouth,6,86,37,113,91,145,Yes,Not Applicable,Pollen,Calcium,B-,9
COVID-19,Remdesivir,Diarrhea,18,49,45,75,80,132,Yes,No,Pollen,Iron Supplement,A+,10
Anxiety,Clonazepam,Constipation,4,74,49,95,100,149,Yes,Not Applicable,Sulfa,None,O+,8
Anxiety,Buspirone,Fatigue,10,85,34,83,91,129,Yes,Not Applicable,Sulfa,Vitamin D,A+,6
Diabetes,Metformin,Dizziness,9,62,42,109,83,145,Occasional,Not Applicable,Sulfa,Vitamin D,AB-,5
Allergy,Cetirizine,Constipation,2,46,45,78,95,122,Yes,No,Peanuts,Iron Supplement,B-,10
Migraine,Sumatriptan,Vomiting,9,57,41,76,98,170,Occasional,Yes,Dust,None,B-,8
Tuberculosis,Rifampicin,Diarrhea,4,89,44,102,99,123,No,Not Applicable,Dust,Iron Supplement,A+,9
Flu,Oseltamivir,Dry Mouth,9,90,39,74,80,160,Occasional,No,Dust,Multivitamin,A+,9
Arthritis,Ibuprofen,Constipation,6,53,39,115,99,137,No,No,Peanuts,None,A+,8
Tuberculosis,Ethambutol,Constipation,6,45,31,84,85,175,Occasional,No,None,Vitamin D,B+,5
Diabetes,Glimepiride,Nausea,10,41,38,73,97,170,Yes,No,Dust,Multivitamin,A+,5
Allergy,Loratadine,Vomiting,15,64,42,68,89,154,Yes,Not Applicable,Pollen,Vitamin D,A-,8
Anxiety,Buspirone,Fatigue,3,89,43,107,100,152,Yes,No,Pollen,Multivitamin,AB-,9
Arthritis,Diclofenac,Rash,8,70,43,118,100,159,Occasional,Not Applicable,Sulfa,Calcium,AB+,9
Anxiety,Alprazolam,Fatigue,5,88,30,92,86,164,Occasional,No,Peanuts,Vitamin D,O-,6
Thyroid Disorder,Levothyroxine,Sleepiness,12,59,38,64,96,134,No,No,Sulfa,Vitamin D,O-,6
Heart Disease,Clopidogrel,Fatigue,5,64,49,97,89,133,Occasional,Not Applicable,None,Multivitamin,AB+,7
Typhoid,Cefixime,Constipation,10,90,47,84,84,175,Yes,Not Applicable,Penicillin,Vitamin D,B-,7
Kidney Disease,Calcitriol,Dry Mouth,16,43,44,102,85,126,No,No,Peanuts,Iron Supplement,A-,8
Arthritis,Methotrexate,Diarrhea,11,79,35,100,88,163,Occasional,No,Penicillin,Calcium,B+,4
Arthritis,Diclofenac,Dizziness,3,67,46,77,94,176,Occasional,No,Pollen,Vitamin D,A-,5
Migraine,Sumatriptan,Dry Mouth,3,63,47,91,83,153,Yes,No,Peanuts,None,AB+,7
Tuberculosis,Isoniazid,Dizziness,6,45,30,68,83,175,Occasional,Yes,Peanuts,Iron Supplement,AB+,9
Kidney Disease,Erythropoietin,Sleepiness,5,83,43,101,95,140,Occasional,No,None,Vitamin D,AB-,4
Kidney Disease,Erythropoietin,Dry Mouth,8,48,30,82,83,171,Occasional,No,Sulfa,Iron Supplement,A-,8
Tuberculosis,Isoniazid,Constipation,9,68,47,117,98,123,Yes,Yes,Sulfa,Vitamin D,B+,9
Arthritis,Diclofenac,Headache,14,64,33,100,100,147,Occasional,No,Sulfa,Iron Supplement,O-,9
Malaria,Primaquine,Headache,6,76,36,104,95,126,No,Not Applicable,Dust,Iron Supplement,AB-,8
Malaria,Primaquine,Dry Mouth,1,78,37,97,83,157,No,No,Sulfa,Vitamin D,O-,4
Thyroid Disorder,Levothyroxine,Dizziness,15,55,34,97,92,163,No,Not Applicable,Dust,Iron Supplement,AB+,4
Kidney Disease,Furosemide,Constipation,13,86,46,79,93,160,No,Yes,Dust,Multivitamin,B+,9
Allergy,Fexofenadine,Nausea,12,65,48,85,87,155,Occasional,Not Applicable,Dust,Iron Supplement,O+,6
Flu,Ibuprofen,Fatigue,15,67,32,61,97,120,Occasional,Not Applicable,Pollen,None,A+,9
Thyroid Disorder,Levothyroxine,Rash,5,59,37,88,95,129,Yes,No,Peanuts,None,A+,5
Liver Disease,Lactulose,Vomiting,12,78,34,102,95,127,Yes,Yes,Pollen,Calcium,A-,10
Arthritis,Methotrexate,Rash,16,61,34,86,98,122,Yes,No,Peanuts,Vitamin D,A-,8
Tuberculosis,Rifampicin,Rash,18,74,45,78,99,148,No,Yes,Sulfa,Calcium,AB-,5
PCOS,Clomiphene,Dry Mouth,5,83,41,97,96,140,Occasional,Yes,Sulfa,Iron Supplement,O-,4
Malaria,Artemether,Vomiting,6,46,39,67,84,130,Yes,Yes,Pollen,Calcium,O+,4
Arthritis,Diclofenac,Sleepiness,5,62,32,93,84,166,Occasional,Not Applicable,Pollen,Calcium,AB+,4
Diabetes,Metformin,Vomiting,1,73,30,94,85,142,No,No,Peanuts,None,AB-,10
Heart Disease,Aspirin,Rash,12,58,33,76,97,162,No,Yes,Peanuts,Iron Supplement,O+,9
Diabetes,Metformin,Diarrhea,9,62,34,97,86,168,Occasional,Not Applicable,Dust,Iron Supplement,A+,6
Typhoid,Cefixime,Headache,12,89,46,78,86,163,No,Yes,Sulfa,Vitamin D,A+,10
